slide_id,source,metric,model_version,n_fovs_on_slide,baseline_mean,baseline_std,baseline_median,baseline_mad,flags,no_data_reason
NKR-72502299,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,263.127,112.363,241.0,125.2797,,
NKR-72502307,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,175.145,103.376,162.0,66.717,,
NKR-72502310,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,61.944,32.956,53.0,25.2042,,
NKR-72502313,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,124.309,38.798,119.0,37.065,,
NKR-72502314,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,44.463,23.159,41.0,20.7564,,
NKR-72502319,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,113.358,453.012,74.0,29.652,mean_median_divergence,
NKR-72502321,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,96.716,46.694,91.0,42.9954,,
NKR-72502322,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,56.262,30.978,49.0,28.9107,,
NKR-72502327,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,62.457,32.64,55.0,28.1694,,
NKR-72502330,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,170.429,87.375,142.5,76.3539,,
NKR-72502333,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,87.244,31.06,81.5,30.3933,,
NKR-72502335,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,60.188,55.024,40.0,23.7216,mean_median_divergence,
NKR-72502337,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,62.509,28.127,59.0,26.6868,,
NKR-72502338,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,124.636,77.104,110.0,80.0604,,
NKR-72502344,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,75.398,40.755,66.0,34.0998,,
NKR-72502347,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,152.673,63.469,151.5,64.4931,,
NKR-72502348,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,95.364,56.202,86.0,49.6671,,
NKR-72502353,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,77.904,36.111,72.0,35.5824,,
NKR-72502360,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,209.256,495.425,137.0,117.1254,mean_median_divergence,
NKR-72502363,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,107.895,58.315,99.0,50.4084,,
NKR-72502513,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,71.88,228.451,56.0,22.239,mean_median_divergence,
NKR-72502533,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,62.293,35.32,53.0,22.239,,
NKR-72502552,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,55.444,25.207,55.5,27.4281,,
RUB-62501292,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,100.136,57.085,92.5,49.6671,,
RUB-62501325,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,145.685,45.536,139.0,43.7367,,
RUB-62501327,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,161.994,62.399,155.5,48.1845,,
RUB-62501332,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,221.096,154.081,213.5,48.1845,,
RUB-62501334,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,164.481,53.822,162.0,60.7866,,
RUB-62501335,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,162.975,108.85,149.5,41.5128,,
RUB-62501337,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,182.049,81.984,179.0,74.8713,,
RUB-62501338,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,200.256,360.272,150.5,73.3887,mean_median_divergence,
RUB-62501340,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,118.929,49.862,110.0,41.5128,,
RUB-62501342,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,139.549,48.38,139.0,48.1845,,
RUB-62501343,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,225.269,128.31,181.5,86.7321,,
RUB-62501346,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,193.596,140.51,162.5,79.3191,,
RUB-62501347,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,359.244,154.49,333.0,117.8667,,
RUB-62501349,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,303.787,191.499,259.0,102.2994,,
RUB-62501365,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,144.765,64.578,136.5,73.3887,,
RUB-62501379,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,92.488,36.136,89.0,40.0302,,
RUB-62501381,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,171.244,54.545,165.0,52.6323,,
RUB-62501383,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,172.08,63.672,161.0,54.8562,,
RUB-62501385,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,72.981,54.954,61.0,31.1346,,
RUB-62501389,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,144.123,628.929,89.0,42.9954,mean_median_divergence,
RUB-62501390,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,94.441,50.629,84.0,53.3736,,
RUB-62501392,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,323,59.851,28.226,55,25.2042,,
RUB-62501396,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,64.657,26.457,60.0,21.4977,,
RUB-62501397,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,177.719,74.922,162.0,69.6822,,
RUB-62501399,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,82.386,44.335,81.0,40.0302,,
RUB-62501403,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,49.225,277.229,20.0,13.3434,mean_median_divergence,
RUB-62501408,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,188.429,66.495,181.5,63.0105,,
RUB-62501416,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,121.75,195.089,101.0,66.717,,
RUB-62501418,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,115.759,79.246,100.5,68.1996,,
RUB-62501419,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,70.253,53.269,62.5,34.8411,,
RUB-62501424,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,61.858,29.52,61.0,32.6172,,
RUB-62501426,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,76.713,45.24,71.0,48.9258,,
